Shipment_ID,Shipment_Date,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_kg,Warehouse_Processing_Hours,Traffic_Level,Weather_Condition,Delivery_Time_Hours
SHP-00001,2025-04-13,East,Road,Standard,706,359.13,4.2,Medium,Clear,21.72
SHP-00002,2025-12-15,West,Road,Standard,1163,364.65,4.04,Medium,Clear,27.29
SHP-00003,2025-09-28,North,Road,Standard,2037,160.42,3.71,Medium,Rain,48.3
SHP-00004,2025-04-17,North,Road,Standard,360,137.1,2.72,Medium,Clear,18.76
SHP-00005,2025-03-13,North,Road,Express,606,363.86,5.62,Medium,Clear,13.38
SHP-00006,2025-07-08,North,Road,Standard,2354,222.43,4.64,High,Rain,60.09
SHP-00007,2025-01-21,East,Air,Standard,2630,397.61,2.08,Medium,Rain,24.05
SHP-00008,2025-04-13,West,Rail,Standard,1606,135.46,2.64,Low,Clear,28.24
SHP-00009,2025-05-02,North,Road,Standard,101,173.93,1.23,High,Clear,17.1
SHP-00010,2025-08-03,North,Air,Standard,1411,415.91,2.29,Medium,Rain,12.97
SHP-00011,2025-11-27,South,Road,Standard,1244,164.87,1.36,High,Clear,34.71
SHP-00012,2025-03-29,West,Road,Standard,1698,20.0,5.72,Low,Clear,39.07
SHP-00013,2025-04-10,South,Air,Standard,2397,392.99,12.41,Low,Clear,21.97
SHP-00014,2025-12-26,South,Rail,Standard,721,300.68,1.28,High,Storm,25.36
SHP-00015,2025-06-01,North,Air,Express,827,164.76,2.83,Low,Clear,8.72
SHP-00016,2025-05-11,North,Road,Standard,881,692.21,2.53,High,Rain,32.5
SHP-00017,2025-05-30,West,Air,Standard,2329,96.96,0.5,High,Clear,17.39
SHP-00018,2025-11-05,West,Rail,Standard,1910,246.16,1.96,Medium,Clear,31.35
SHP-00019,2025-09-15,North,Rail,Express,1579,219.5,9.03,Low,Rain,34.37
SHP-00020,2025-12-10,West,Rail,Standard,2125,48.89,3.54,Medium,Storm,46.65
SHP-00021,2025-10-21,East,Sea,Standard,2022,195.18,2.87,High,Clear,69.57
SHP-00022,2025-07-11,West,Rail,Express,1124,509.73,1.38,Medium,Clear,26.76
